@relation tanks_data

@attribute Name STRING
@attribute Tier {'X', 'IX', 'VIII', 'VII', 'VI', 'V', 'IV', 'III', 'II', 'I'}
@attribute Premium {True, False}
@attribute Reward {True, False}
@attribute Event {True, False}
@attribute Nationality {'American', 'British', 'Soviet', 'Chinese', 'French', 'Czech', 'German', 'Italian', 'Japanese', 'Polish', 'Swedish'}
@attribute Type {'Heavy Tank', 'Medium Tank', 'Light Tank', 'Tank Destroyer', 'Artillery'}
@attribute DPM NUMERIC
@attribute Damage NUMERIC
@attribute Penetration (mm) NUMERIC
@attribute DPM at 500m (mm) NUMERIC
@attribute Reload time (sec) NUMERIC
@attribute Rate of fire (rnds/min) NUMERIC
@attribute Aim time (sec) NUMERIC
@attribute Dispersion NUMERIC
@attribute Dispersion damaged NUMERIC
@attribute Dispersion factors moving (+) NUMERIC
@attribute Dispersion factors tank traverse (+) NUMERIC
@attribute Dispersion factors turret traverse (+) NUMERIC
@attribute Dispersion factors after firing (+) NUMERIC
@attribute Dispersion factors damaged (×) NUMERIC
@attribute Damage vs. modules NUMERIC
@attribute Caliber (mm) NUMERIC
@attribute Shell velocity (m/s) NUMERIC
@attribute Max range (m) NUMERIC
@attribute Ammo capacity NUMERIC
@attribute Potential damage NUMERIC
@attribute Shell cost NUMERIC
@attribute Top speed (km/h) NUMERIC
@attribute Reverse speed (km/h) NUMERIC
@attribute Power (hp) NUMERIC
@attribute Power/weight (hp/t) NUMERIC
@attribute Tank traverse (°/sec) NUMERIC
@attribute Effective top speed hard (km/h) NUMERIC
@attribute Effective top speed medium (km/h) NUMERIC
@attribute Effective top speed soft (km/h) NUMERIC
@attribute Effective traverse hard (°/sec) NUMERIC
@attribute Effective traverse medium (°/sec) NUMERIC
@attribute Effective traverse soft (°/sec) NUMERIC
@attribute Terrain resistance hard NUMERIC
@attribute Terrain resistance medium NUMERIC
@attribute Terrain resistance soft NUMERIC
@attribute Gun elevation (°) NUMERIC
@attribute Gun depression (°) NUMERIC
@attribute Gun traverse (°/sec) NUMERIC
@attribute Gun traverse range (°) part 1 STRING
@attribute Gun traverse range (°) part 2 NUMERIC
@attribute Turret traverse (°/sec) NUMERIC
@attribute Hull armor (mm) part 1 NUMERIC
@attribute Hull armor (mm) part 2 NUMERIC
@attribute Hull armor (mm) part 3 NUMERIC
@attribute Turret armor (mm) part 1 NUMERIC
@attribute Turret armor (mm) part 2 NUMERIC
@attribute Turret armor (mm) part 3 NUMERIC
@attribute Track armor (mm) NUMERIC
@attribute Health NUMERIC
@attribute Engine health NUMERIC
@attribute Track health NUMERIC
@attribute Health repair time (sec) NUMERIC
@attribute Ammo rack health NUMERIC
@attribute Fuel tank health NUMERIC
@attribute Max load (kg) NUMERIC
@attribute Total weight (kg) NUMERIC
@attribute Stationary camo (%) part 1 NUMERIC
@attribute Stationary camo (%) part 2 NUMERIC
@attribute Moving camo (%) part 1 NUMERIC
@attribute Moving camo (%) part 2 NUMERIC
@attribute View range (m) NUMERIC
@attribute Radio range (m) NUMERIC
@attribute Fire chance (%) NUMERIC
@attribute Tank cost (silver) NUMERIC
@attribute Tank cost (gold) NUMERIC
@attribute Clip size NUMERIC
@attribute Clip damage part 1 NUMERIC
@attribute Clip damage part 2 NUMERIC
@attribute Intra-clip reload NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 1 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 2 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 3 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 4 NUMERIC
@attribute Max wheel angle (°) NUMERIC
@attribute Axle count NUMERIC
@attribute Siege enabled (km/h) NUMERIC
@attribute Siege disabled (km/h) NUMERIC
@attribute Rocket boosters uses NUMERIC
@attribute Rocket boosters duration (sec) NUMERIC
@attribute Rocket boosters cooldown (sec) NUMERIC
@attribute Rocket boosters initial cooldown (s) NUMERIC
@attribute Track health part 1 NUMERIC
@attribute Track health part 2 NUMERIC
@attribute Health repair time (sec) part 1 NUMERIC
@attribute Health repair time (sec) part 2 NUMERIC
@attribute Reload time (sec) part 1 NUMERIC
@attribute Reload time (sec) part 2 NUMERIC
@attribute DPM alt. gun (sec) NUMERIC
@attribute DPM charge/lock (sec) part 1 NUMERIC
@attribute DPM charge/lock (sec) part 2 NUMERIC
@attribute Dispersion before cooldown NUMERIC
@attribute Cooldown delay (sec) NUMERIC
@attribute Ricochet angle (°) NUMERIC
@attribute DPM at 50m NUMERIC
@attribute DPM at 50m at 500m NUMERIC
@attribute Damage at 50m NUMERIC
@attribute DPM at 50m at 500m (mm) NUMERIC
@attribute Dispersion factors at 500m NUMERIC
@attribute Explosion radius (m) NUMERIC
@attribute Stun duration (s) STRING
@attribute Shell gravity (m/s²) NUMERIC
@attribute Ballistic range (m) NUMERIC
@attribute DPM burst size NUMERIC
@attribute DPM burst damage part 1 NUMERIC
@attribute DPM burst damage part 2 STRING
@attribute Normalization (°) NUMERIC
@attribute Tank cost in NA NUMERIC
@attribute View range (m) in EU NUMERIC
@attribute View range (m) in Asia NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 5 NUMERIC
@attribute DPM at 400m (mm) NUMERIC

@data
'(R) T-62A','X',False,False,False,'Soviet','Medium Tank',3034.18,320,264,254,6.33,9.48,1.92,0.33,0.65,0.10,0.10,0.08,3.50,2,135,100,1535,720,50,16000,1100,50,20,613.22,16.57,58.41,50,50,45.06,55.49,46.24,19.82,0.48,0.58,1.34,17,5,33.25,'-180',180,50.06,100,80,45,240,161,65,20,1950,360,250,12.03,210,200,39800,37000,15.28,3.02,11.46,2.27,400,850,10,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'121','X',False,False,False,'Chinese','Medium Tank',2868.25,440,262,244,9.20,6.52,2.40,0.34,0.67,0.14,0.14,0.10,4,2,165,122,1115,720,40,17600,1065,56,20,650,16.67,52.15,56,56,39.64,52.15,45.63,22.82,0.67,0.77,1.53,15,5,26.25,'-180',180,41.72,135,80,60,240,130,60,20,2050,360,250,12.03,210,200,42000,39000,14.99,2.70,11.29,2.03,400,782.25,12,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'121B','X',False,True,False,'Chinese','Medium Tank',3013.11,390,261,251,7.77,7.73,2.11,0.32,0.63,0.14,0.14,0.10,4,2,150,105,1478,720,50,19500,1250,55,25,700,17.50,52.15,55,55,47.57,52.15,45.63,26.07,0.67,0.77,1.34,18,5,35,'-180',180,43.81,135,80,60,275,200,60,20,1950,360,250,12.03,210,200,43000,40000,14.99,3.13,11.23,2.35,420,782.25,12,?,22500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'AMX 30 B','X',False,False,False,'French','Medium Tank',3129,390,248,232,7.48,8.02,1.92,0.35,0.69,0.12,0.12,0.04,3,2,150,105,1100,720,50,19500,1210,65,23,761.24,21.15,50.06,65,65,38.32,47.56,38.91,20.38,0.86,1.05,2.01,20,8,21.88,'-180',180,39.63,80,35,30,150,40,30,20,1900,360,250,12.03,260,200,38000,36000,15.28,3.19,11.46,2.39,410,782.25,10,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Bat.-Châtillon 25 t','X',False,False,False,'French','Medium Tank',2375.15,390,259,249,38.35,6.09,2.30,0.34,0.67,0.14,0.14,0.10,3,2,150,105,1460,720,50,19500,1200,65,23,761.24,30.11,43.81,65,65,65,41.62,37.45,23.41,0.86,0.96,1.53,11,6,21.88,'-180',180,39.63,60,40,30,50,30,15,15,1800,360,250,8.02,260,200,28000,25280,16.87,3.34,12.65,2.51,400,750,10,6100000,?,5,1950,10.91,2.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Carro da Combattimento 45 t','X',False,True,False,'Italian','Medium Tank',2503.20,400,248,238,?,6.26,2.88,0.36,0.73,0.16,0.16,0.12,4,2,165,120,960,720,60,24000,930,55,23,800,17.78,44.85,55,55,37.59,42.61,37.90,18.94,0.77,0.86,1.73,15,9,20,'-180',180,32.33,80,70,30,230,80,50,20,1900,360,250,12.03,260,200,46400,45000,14.65,3.06,11,2.30,400,745,10,?,22500,4,1600,12,4,15.34,13.42,11.51,9.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Centurion Action X','X',False,False,False,'British','Medium Tank',3050.78,390,268,258,7.67,7.82,2.01,0.31,0.61,0.10,0.10,0.08,4,2,150,105,1478,720,68,26520,1200,55,20,1099.57,19.99,52.15,55,55,50.73,49.54,42.46,19.82,0.58,0.67,1.44,20,10,35,'-180',180,50.06,120.7,50.8,31.8,254,152.4,95.3,25,1950,320,250,12.03,260,200,60000,55000,12.03,2.51,9.01,1.88,410,782.25,20,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Concept No. 5','X',False,False,False,'British','Medium Tank',2299.95,430,260,250,11.22,5.35,1.73,0.30,0.59,0.10,0.10,0.06,3,2,150,110,1230,720,40,17200,1120,65,32,580,25.22,41.72,65,65,49.22,39.63,29.36,20.33,0.96,1.29,1.87,16,8,35,'-180',180,52.15,70,40,35,150,40,40,10,1800,320,250,19.25,260,200,25000,23000,10.43,2.18,7.81,1.63,400,750,15,6100000,?,?,?,?,?,?,?,?,?,0,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'CS-63','X',False,False,False,'Polish','Medium Tank',2871.32,390,258,232,8.15,7.36,2.21,0.35,0.69,0.12,0.12,0.06,3,2,150,105,1241,720,50,19500,1120,55,15,740,18.12,50.06,55,55,43.09,47.56,40.77,17.84,0.58,0.67,1.53,20,8,33,'-180',180,52.15,80,50,40,260,60,40,20,2000,370,250,12.03,210,200,42500,40850,15.96,3.34,11.97,2.50,400,730,20,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'CS-63 7x7','X',False,True,False,'Polish','Medium Tank',2871.32,390,258,232,8.15,7.36,2.21,0.35,0.69,0.12,0.12,0.06,3,2,150,105,1241,720,50,19500,1120,55,15,740,18.12,50.06,55,55,43.09,47.56,40.77,17.84,0.58,0.67,1.53,20,8,33,'-180',180,52.15,80,50,40,260,60,40,20,2000,370,250,12.03,210,200,42500,40850,15.96,3.34,11.97,2.50,400,730,20,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
